,Gene,Y0a,Y0b,Y1a,Y1b,Y3a,Y3b
4322,ENSG00000123191,0.058733085862415546,0.07405991575474465,0.01987395056678237,0.0331111574545907,0.006512896967059304,0.010349119629907443
4323,ENSG00000123200,0.0002580741077288971,0.012850585201062652,4.470766070015224e-14,5.2239117271366094e-12,0.9999600189187999,0.9999446849640713
4324,ENSG00000123213,0.05871432698368362,0.07404492928913774,0.9978913555094701,0.9991390469209935,5.49158386635654e-07,6.685849404609972e-08
4325,ENSG00000123240,1.7913232096784914e-09,1.2515695079656688e-05,4.520388474206762e-07,8.231858461870656e-07,0.012598107386965445,0.023100381816119887
4326,ENSG00000123243,0.004771346049751972,0.06727212345746542,0.00025400741816662757,0.0035033086328743086,0.7553897016634203,0.8610609299131071
4327,ENSG00000123268,0.13600318426157368,0.21238478457830132,9.529306991390125e-10,3.2603114880691536e-08,0.0002093036873662329,0.0005518909483686416
4328,ENSG00000123297,0.05494265864784356,0.06923520011476979,2.6803187140045463e-12,1.4834604467776856e-10,0.04588732120367218,0.056588899867529546
4329,ENSG00000123329,0.058667454361666004,0.07400747533106516,0.1112117219834756,0.24420026239097195,1.1393128231058543e-07,4.364318609549938e-08
4330,ENSG00000123338,0.058658084048643824,0.07399998663147699,0.9999990609373276,0.9999981393566256,0.9990204537661995,0.9999100993376895
4331,ENSG00000123349,0.024262938290714114,0.030381026088707797,2.8185414728426466e-21,7.417503522940621e-16,0.0002176781504898802,0.0015808815634148169
4332,ENSG00000123352,0.05859923190554953,0.0500946977944582,9.078824643399291e-15,4.750027235551656e-12,0.06362863899169931,0.16710363509019965
4333,ENSG00000123358,0.05862998152909236,0.07397752471581714,8.55414750870334e-06,8.392859337600634e-05,5.87959802429228e-05,1.0357594504451386e-05
4334,ENSG00000123360,0.03880723580735029,0.046157537256469795,6.395876999140115e-10,4.633081924931686e-09,0.010409186809472339,0.01557000291862881
4335,ENSG00000123374,0.034098192769031456,0.045095032567638714,5.6678147619417005e-12,2.805350368863937e-08,0.9447984655109577,0.9652351023575957
4336,ENSG00000123384,0.9998889646183189,0.9987449909897395,7.804349768244161e-09,6.216689743127463e-06,0.8001595745518448,0.6936538922003307
4337,ENSG00000123395,3.6974565970858764e-08,3.1188671228716056e-05,7.821053909803224e-13,3.451831427687961e-11,4.38229374633471e-09,1.8927475656794223e-07
4338,ENSG00000123411,1.6539600316711305e-07,5.658633709207657e-05,1.0005674692789378e-05,8.876101908801375e-05,1.3147174163692824e-07,1.7170838873263067e-06
4339,ENSG00000123415,1.2645311813350734e-05,0.0004891657674298434,6.1798830184859495e-15,3.914654421021702e-13,6.463993261473088e-12,3.145619194988001e-10
4340,ENSG00000123416,2.7262072944741873e-08,2.1657174808908552e-05,1.680302299117768e-07,0.0003460065663438478,1.213993517989067e-10,7.3506630553499785e-09
4341,ENSG00000123427,0.058555103188323195,0.07391765694089164,1.452158367758354e-11,2.019183728681471e-09,7.699483231759343e-17,2.053556987986977e-15
4342,ENSG00000123444,7.092291462953639e-08,3.726598050517773e-05,9.325097797516436e-22,1.5099430095480626e-16,0.0013224296282388025,0.010086506793586315
4343,ENSG00000123453,0.015557047166084623,0.022782313969101877,0.0010179235448525008,0.008144830105963102,2.090000356046154e-09,2.3930065376495482e-08
4344,ENSG00000123454,0.0585270469384141,0.07389521802130332,0.5288586822721255,0.7074131807655567,1.442000316322034e-09,1.0271257364575923e-07
4345,ENSG00000123472,2.795819191889309e-06,0.007273245249895745,4.039682491778796e-13,3.765233961220055e-10,7.56104371094558e-09,2.0809217827867452e-07
4346,ENSG00000123473,0.03873135307689158,0.04609983595269009,8.896564456910264e-05,0.0001653294566510869,2.3966173087308035e-14,2.860767860977206e-13
4347,ENSG00000123505,1.692269011314627e-09,2.0082264058971217e-05,1.4401202887318685e-06,1.2282725487062842e-05,2.981414248139749e-05,0.0002946041826608046
4348,ENSG00000123545,7.085074357750657e-08,4.071527531832629e-05,0.9819144359434164,0.9930482830873092,9.724780872950335e-05,0.00047357720236648895
4349,ENSG00000123552,0.024190733823854477,0.030323134100630755,4.205175814159948e-08,8.010017334122572e-07,6.210746771891331e-17,1.7493601336886979e-15
4350,ENSG00000123560,0.0024667029095808484,0.0399095471164623,3.0147830589803318e-09,1.6632362834873127e-07,0.9998083019316324,0.9999776695731031
4351,ENSG00000123562,0.06341284964372772,0.054600901445238874,0.9998455131220912,0.999382681099404,1.0215872524934987e-13,5.529825720696246e-13
4352,ENSG00000123570,0.01854970703724562,0.013852163079973214,8.6264689416083e-08,9.685340090636028e-07,0.00021349164572260167,0.00042677770029824624
