,Gene,Y0a,Y0b,Y1a,Y1b,Y2a,Y2b,Y3a,Y3b
14002,ENSG00000267370,0.0036827104395049247,0.0036827104395049247,6.854014306424608e-06,6.854014306424608e-06,3.7536519907613495e-06,3.7536519907613495e-06,3.863480872166566e-08,3.863480872166566e-08
14003,ENSG00000267372,0.00368182643811786,0.00368182643811786,7.217600631792932e-06,7.217600631792932e-06,2.164446718495435e-07,2.164446718495435e-07,1.7266872198264244e-07,1.7266872198264244e-07
14004,ENSG00000267419,0.0036809426481433697,0.0036809426481433697,5.4276128138160666e-08,5.4276128138160666e-08,0.0033050341046323398,0.0033050341046323398,2.3200266383748713e-05,2.3200266383748713e-05
14005,ENSG00000267454,0.0030176994158002293,0.0030176994158002293,2.3526120630172903e-10,2.3526120630172903e-10,1.5026520231291275e-05,1.5026520231291275e-05,1.8433199172657167e-20,1.8433199172657167e-20
14006,ENSG00000267466,0.0036791757022314156,0.0036791757022314156,0.0029550985406728426,0.0029550985406728426,0.0001407697213134181,0.0001407697213134181,0.00130398880352898,0.00130398880352898
14007,ENSG00000267470,0.0017072652557573419,0.0017072652557573419,3.1448660372919586e-07,3.1448660372919586e-07,1.1748941803130422e-06,1.1748941803130422e-06,3.519263332748184e-13,3.519263332748184e-13
14008,ENSG00000267481,0.0036774096013677256,0.0036774096013677256,1.3825752009062721e-19,1.3825752009062721e-19,0.0004299518077989026,0.0004299518077989026,7.960248932182217e-12,7.960248932182217e-12
14009,ENSG00000267506,0.0036765268677036163,0.0036765268677036163,0.00046163153623905284,0.00046163153623905284,0.0023388041601437267,0.0023388041601437267,5.796369212386137e-05,5.796369212386137e-05
14010,ENSG00000267508,0.003675644345151159,0.003675644345151159,5.2520877720974466e-05,5.2520877720974466e-05,7.479253160803576e-06,7.479253160803576e-06,2.063036331657963e-12,2.063036331657963e-12
14011,ENSG00000267534,0.0005444883408889218,0.0005444883408889218,1.5546759059229415e-10,1.5546759059229415e-10,8.275830582143516e-07,8.275830582143516e-07,1.0304057586889778e-17,1.0304057586889778e-17
14012,ENSG00000267575,0.003673879933180763,0.003673879933180763,0.004981065923006064,0.004981065923006064,0.002906165590812428,0.002906165590812428,7.447369899343919e-08,7.447369899343919e-08
14013,ENSG00000267632,0.0036729980436626306,0.0036729980436626306,6.674617622149884e-06,6.674617622149884e-06,0.015040436881263677,0.015040436881263677,4.779578346809795e-11,4.779578346809795e-11
14014,ENSG00000267651,0.003672116365055771,0.003672116365055771,1.0476864140135976e-06,1.0476864140135976e-06,1.102164379793859e-09,1.102164379793859e-09,7.178865097854148e-08,7.178865097854148e-08
14015,ENSG00000267665,0.0036712348973101075,0.0036712348973101075,4.79831658575788e-10,4.79831658575788e-10,0.004372416615877733,0.004372416615877733,0.0003292841875079787,0.0003292841875079787
14016,ENSG00000267680,2.528268234052838e-06,2.528268234052838e-06,4.948976250095567e-17,4.948976250095567e-17,7.029695670185404e-08,7.029695670185404e-08,4.913752319730837e-07,4.913752319730837e-07
14017,ENSG00000267750,0.002402695730302217,0.002402695730302217,0.00046000044930665646,0.00046000044930665646,2.6221080443024212e-05,2.6221080443024212e-05,5.820854695473881e-09,5.820854695473881e-09
14018,ENSG00000267858,0.0036685917587398528,0.0036685917587398528,0.007256472255987332,0.007256472255987332,0.0028457528636309337,0.0028457528636309337,2.8958096106240613e-07,2.8958096106240613e-07
14019,ENSG00000267904,0.0036677111339385696,0.0036677111339385696,5.902603919127111e-13,5.902603919127111e-13,0.00021451401024418765,0.00021451401024418765,3.4299131952140565e-08,3.4299131952140565e-08
14020,ENSG00000267909,0.0030478891454899094,0.0030478891454899094,0.0437173999693125,0.0437173999693125,2.1799287949631543e-07,2.1799287949631543e-07,0.01366556358633437,0.01366556358633437
14021,ENSG00000267934,0.0036659505161191408,0.0036659505161191408,2.012138529249207e-09,2.012138529249207e-09,6.468705554372446e-05,6.468705554372446e-05,3.2294690499369006e-11,3.2294690499369006e-11
14022,ENSG00000267940,0.0036650705230010143,0.0036650705230010143,2.2432136778685196e-06,2.2432136778685196e-06,2.9359271830554486e-08,2.9359271830554486e-08,2.6793102704490987e-06,2.6793102704490987e-06
14023,ENSG00000268006,0.001021919646670722,0.001021919646670722,5.3971327738934814e-06,5.3971327738934814e-06,7.630372018427589e-07,7.630372018427589e-07,1.262404471521741e-18,1.262404471521741e-18
14024,ENSG00000268043,0.0011232032179626717,0.0011232032179626717,0.0007761512281435057,0.0007761512281435057,0.00014928761777666553,0.00014928761777666553,6.875640415463084e-17,6.875640415463084e-17
14025,ENSG00000268087,0.003662431806213341,0.003662431806213341,7.076060937300685e-22,7.076060937300685e-22,7.356180686024534e-06,7.356180686024534e-06,1.768410889781109e-09,1.768410889781109e-09
14026,ENSG00000268089,0.003661552654639854,0.003661552654639854,2.6841505916514235e-07,2.6841505916514235e-07,7.593688453628323e-14,7.593688453628323e-14,8.095993870177983e-06,8.095993870177983e-06
14027,ENSG00000268119,0.003660673713327684,0.003660673713327684,2.2403205718299273e-06,2.2403205718299273e-06,0.013254978944830086,0.013254978944830086,3.08138655971398e-13,3.08138655971398e-13
14028,ENSG00000268182,1.3977145985011726e-05,1.3977145985011726e-05,2.8537229003811686e-17,2.8537229003811686e-17,2.839325610792872e-06,2.839325610792872e-06,1.7628088611988377e-08,1.7628088611988377e-08
