,Unnamed: 0,GeneSymb,MeanPval,OR,Pval,Y,Score (OR*MV),Score,Evidence
255,170,LIN54,-2.463392197,0.16240901,7.42E-05,0.592415643,0.400077087,-0.400077088,0
256,118,CD55,-2.099908249,0.182782056,0.000314533,0.603691711,0.383825547,-0.383825547,0
257,97,NT5E,-2.463854201,0.152509201,0.000333961,0.58690016,0.375760435,-0.375760436,0
258,268,ABI3,-2.010341455,0.183328575,0.000598015,0.603992742,0.368553034,-0.368553034,1
259,38,HK3,-1.930246349,0.188379567,0.000858593,0.606771159,0.363618971,-0.363618971,0
260,183,LGALS9,-2.167500224,0.162051345,0.00357718,0.592216773,0.351246327,-0.351246327,0
261,138,FLNC,-2.010268363,0.168519609,0.000129557,0.59580855,0.338769639,-0.338769639,0
262,199,RIN3,-2.647784851,0.120756091,9.91E-05,0.569068379,0.319736147,-0.319736148,1
263,213,CYFIP1,-3.027970822,0.104290158,0.000937625,0.559747402,0.315787556,-0.315787555,0
264,11,APCDD1,-2.618736089,0.119845511,0.000217193,0.568554135,0.313843765,-0.313843765,0
265,93,APOE,-2.152601255,0.138458946,0.000889833,0.579035067,0.2980469,-0.298046901,1
266,19,RYR2,-2.533981616,0.115437674,0.00012766,0.566062767,0.292516944,-0.292516944,0
267,119,AGMAT,-2.260278168,0.120169151,7.23E-05,0.568736925,0.271615709,-0.271615708,0
268,232,ZNF536,-3.104688508,0.082240713,0.000200263,0.547200595,0.255331796,-0.255331797,0
269,22,NTRK2,-2.678795295,0.091726271,0.000117018,0.552606473,0.245715902,-0.245715903,0
270,129,ERMP1,-2.465901556,0.087732454,0.000141804,0.550331812,0.216339594,-0.216339595,0
271,188,TRIM62,-2.151731056,0.071141463,7.07E-05,0.540860989,0.153077296,-0.153077295,0
272,108,GPR155,-2.229744142,0.062357831,0.000169517,0.535834509,0.139042009,-0.139042008,0
273,5,SAV1,-1.763907044,0.077430533,0.000457444,0.544454901,0.136580263,-0.136580263,0
