,GeneSymb,MeanPval,OR,Pval,Y,Score
151,ZMAT4,-2.851502055074974,-3.989247192377341,0.000182446,0.00010249632445401529,10.211660023537789
152,TST,-2.182938241886121,-1.4230694212849615,0.000394466,0.036377876238609226,13.446401607819022
153,RDH10,-2.2571292121398807,-6.11693142188585,0.000193567,7.639558244460199e-07,8.678348636964373
154,ST3GAL6,-1.9153269337222545,-1.9226411665006842,0.000317162,0.011808640082986011,13.214441170767167
155,RAC1,-2.0791221603209733,1.9469954513085477,0.000263516,0.988828143026339,16.92028256197768
156,RUFY3,-3.384531573042209,0.15371345435076647,2.41116e-05,0.587572281580348,13.821591152298662
157,FCGR2C,-2.0892384801580053,-3.469640096443162,0.00122894,0.0003390101087489025,11.493530694388937
158,FCGR2A,-2.1922374803123974,-4.706164998669752,0.000844602,1.967100089922031e-05,10.154006792007955
159,CYTH1,-2.2435785546926064,2.5317131793060215,0.000105571,0.9970690254626818,17.34054389560352
160,VASP,-2.0594648399730113,-2.1746469542260694,0.00143534,0.006644430709239945,12.818297476791024
161,CYTH4,-2.2416630053599143,-2.6777233562407727,0.000165284,0.0020958754058409495,12.133022909389418
162,DPH1,-2.0707319597279117,-3.712487097253281,0.00115342,0.00019383344466594575,11.269190214008912
163,XPO7,-2.5220722088559238,-2.665602786875355,5.67094e-05,0.002155064488353678,11.864734275258826
164,BCKDHB,-2.976078604573309,-5.74696724234999,9.88373e-05,1.7907377129047727e-06,8.329363424066806
165,SEC61A2,-2.744474506347892,-2.376362950913852,0.000114646,0.004186154081486535,11.931571813728361
166,DCAF5,-2.358931521867981,-0.32000206361915634,8.78249e-05,0.3236972902858378,14.373475685502967
167,DCAF4,-2.510328657526343,-2.8910865495501135,0.000221319,0.0012833813593916153,11.650994063913647
168,PTCH2,-2.0546738674352705,-1.4103074525094978,0.000300232,0.03742212313571544,13.587427951045335
169,CD38,-2.0110358362312293,-4.4230696922813495,0.000153814,3.774973549046738e-05,10.618303742477526
170,CDR2L,-1.9649546726217813,0.13130782992106593,0.00194194,0.5750162703810066,15.218762428289388
171,ERGIC1,-2.4782649168203386,-5.238493412607326,0.000115886,5.7743629692444105e-06,9.33565094156244
172,CACNA1I,-2.0456541361304104,-4.984739701711517,9.51399e-05,1.035752046441249e-05,10.022015433148177
173,GPAM,-2.2398581779728706,-4.347997211882043,0.000353039,4.487281342359841e-05,10.46455388113519
174,SPG21,-2.017341226099492,-1.5420193481989743,0.00021876,0.02790545810732043,13.493048696691638
175,CACNA1A,-2.78486343131139,-3.1573767980894067,0.000188653,0.000695538266134072,11.110169041589307
176,DLGAP3,-1.9173572557806153,-14.930988896788815,0.00166101,1.1722253343817427e-15,0.20406311842067382
177,GLO1,-2.153934816318416,-3.7513988155647713,0.000451876,0.00017722468369590514,11.147075639106916
178,CREB5,-2.3395977477499645,-3.602632464198998,0.0002417,0.0002496083553389255,11.11017905904114
179,CREB3,-1.8849671943249788,-0.7330073104120212,0.000924969,0.15606383889465747,14.434434766253105
180,PRMT7,-1.0198633796975876,-5.401900654646912,0.000201805,3.9636712259684525e-06,10.630645236645604
